Time_UTC_puts,underlying_price_puts,strike,PC_puts,expiry,mark_price_puts,2000PF,1000PF,500PF,estimated_probability_2000PF,estimated_probability_1000PF,estimated_probability_500PF,Time_UTC_calls,underlying_price_calls,PC_calls,mark_price_calls,2000CF,1000CF,500CF,estimated_probability_2000CF,estimated_probability_1000CF,estimated_probability_500CF
2023-07-29 22:19:10.722,29437.434999999998,40000,P,2023-08-18,0.35929873,5.934999999995805e-05,2.7649999999990182e-05,,0.0008735558836243825,0.0008139450777497109,,2023-07-29 22:19:10.721,29437.434999999998,C,0.00048468,5.9370000000000104e-05,2.7670000000000093e-05,,0.0008738502579750015,0.0008145338264500026,
2023-07-29 22:19:10.720,29437.434999999998,41000,P,2023-08-18,0.39321605,1.954000000004008e-05,1.209000000002014e-05,,0.0002876037399505899,0.00035589858915059284,,2023-07-29 22:19:10.720,29437.434999999998,C,0.00043166,1.9530000000000025e-05,1.207999999999998e-05,,0.0002874565527750003,0.0003556042147999994,
2023-07-29 22:19:10.722,29437.434999999998,42000,P,2023-08-18,0.42714546,-9.469999999955903e-06,-3.228999999999038e-05,,-0.00013938625472435093,-0.0009505347761497168,,2023-07-29 22:19:10.718,29437.434999999998,C,0.00039072,-9.480000000000024e-06,-3.2300000000000026e-05,,-0.00013953344190000035,-0.0009508291505000007,
2023-07-29 22:19:10.717,29437.434999999998,43000,P,2023-08-18,0.46104258,7.30999999999371e-05,4.302000000000472e-05,,0.001075938249249074,0.0012663984537001388,,2023-07-29 22:19:10.720,29437.434999999998,C,0.00031748,7.311000000000004e-05,4.304000000000005e-05,,0.0010760854364250006,0.0012669872024000013,
2023-07-29 22:19:10.720,29437.434999999998,44000,P,2023-08-18,0.49498272,9.252000000004035e-05,1.9349999999973555e-05,,0.0013617757431005936,0.0005696143672492215,,2023-07-29 22:19:10.722,29437.434999999998,C,0.00028728,9.251000000000002e-05,1.9329999999999966e-05,,0.0013616285559250002,0.0005690256185499989,
2023-07-29 22:19:10.722,29437.434999999998,45000,P,2023-08-18,0.52894221,4.0950000000039566e-05,1.0800000000088517e-05,,0.0006027314816255823,0.0003179242980026057,,2023-07-29 22:19:10.722,29437.434999999998,C,0.00027641,4.094999999999999e-05,1.081000000000004e-05,,0.0006027314816249998,0.0003182186723500012,
2023-07-29 22:19:10.725,29437.434999999998,46000,P,2023-08-18,0.5629125,-7.102000000014375e-05,-1.1102230246251565e-16,,-0.0010453233168521156,-3.268211812290644e-15,,2023-07-29 22:19:10.713,29437.434999999998,C,0.00027635,-7.101000000000004e-05,-5.421010862427522e-20,,-0.0010451761296750004,-1.5958065489700411e-18,
2023-07-29 22:19:10.720,29437.434999999998,47000,P,2023-08-18,0.59688279,-8.324999999997917e-05,-8.182000000001022e-05,,-0.0012253332318746934,-0.0024085709317003007,,2023-07-29 22:19:10.713,29437.434999999998,C,0.00027629,-8.325000000000002e-05,-8.181999999999997e-05,,-0.001225333231875,-0.002408570931699999,
2023-07-29 22:19:10.721,29437.434999999998,48000,P,2023-08-18,0.63077126,,8.039000000015228e-05,,,0.0023664753996544825,,2023-07-29 22:19:10.713,29437.434999999998,C,0.00019441,,8.038999999999998e-05,,,0.002366475399649999,
2023-07-29 22:19:10.721,29437.434999999998,49000,P,2023-08-18,0.66474012,,,,,,,2023-07-29 22:19:10.718,29437.434999999998,C,0.00019292,,,,,,
2023-07-29 22:19:10.720,29459.94,10000,P,2023-08-25,2.399e-05,,,,,,,2023-07-29 22:19:10.716,29459.46,C,0.66058011,,,,,,
